2208,chinese_dishes,,,,,chinese_dishes,,,,,,,
12075,bailuobumenyangti,,,白萝卜焖羊蹄,,,bailuobumenyangti,,,,,,
7491,bailuobupaigutang,,,白萝卜排骨汤,,,bailuobupaigutang,,,,,,
10321,bailuoburoupiantang,,,白萝卜肉片汤,,,bailuoburoupiantang,,,,,,
7965,bailuobusitang,,,白萝卜丝汤,,,bailuobusitang,,,,,,
11350,bailuobutunniujin,,,白萝卜炖牛筋,,,bailuobutunniujin,,,,,,
11897,bailuobutuntuji,,,白萝卜炖土鸡,,,bailuobutuntuji,,,,,,
10261,bailuobutunyangjingpian,,,白萝卜炖羊劲片,,,bailuobutunyangjingpian,,,,,,
7714,bailuobuxianbing,,,白萝卜馅饼,,,bailuobuxianbing,,,,,,
7739,bailuobuxiancai,,,白萝卜咸菜,,,bailuobuxiancai,,,,,,
12215,bailuobuyangroujuan,,,白萝卜羊肉卷,,,bailuobuyangroujuan,,,,,,
11209,bailuobuzhuweitang,,,白萝卜猪尾汤,,,bailuobuzhuweitang,,,,,,
8827,bainailuoshucaishala,,,白奶酪蔬菜沙拉,,,bainailuoshucaishala,,,,,,
7777,baiputaojiuzhuyibei,,,白葡萄酒煮贻贝,,,baiputaojiuzhuyibei,,,,,,
11390,baiqieji,,,白切鸡,,,baiqieji,,,,,,
10502,baiqieniurou,,,白切牛肉,,,baiqieniurou,,,,,,
12054,baiqieyangrou,,,白切羊肉,,,baiqieyangrou,,,,,,
9319,baitangfamianbing,,,白糖发面饼,,,baitangfamianbing,,,,,,
10931,baitianshiqiaokelidangao,,,白天使巧克力蛋糕,,,baitianshiqiaokelidangao,,,,,,
10326,baitusi,,,白土司,,,baitusi,,,,,,
8031,baixiangguofengmimianbaogan,,,百香果蜂蜜面包干,,,baixiangguofengmimianbaogan,,,,,,
11310,baixiangguojiweijiu,,,百香果鸡尾酒,,,baixiangguojiweijiu,,,,,,
10555,baixiangguoqifengdangao,,,百香果戚风蛋糕,,,baixiangguoqifengdangao,,,,,,
